gender,city,state,maritalstatus,haschild
M,CHURCH ROCK,NM,M,Y
F,GLEN ROGERS,WV,S,Y
F,CLIFTON,NJ,S,Y
F,BEEBE PLAIN,VT,S,Y
M,INDIAN HILLS,CO,M,Y
F,OLA,AR,S,N
F,POND CREEK,OK,M,N
M,HARTFORD,VT,M,Y
F,NEWMAN,IL,M,Y
F,HEFLIN,LA,M,Y
M,SEAFORTH,MN,S,N
M,OLIVE HILL,KY,M,Y
M,MADISON,WI,S,Y
F,LAKE LURE,NC,M,N
F,LANARK,WV,M,N
F,LIEBENTHAL,KS,M,N
F,WOOLWICH,ME,M,Y
M,CAPTAIN COOK,HI,M,N
F,WELLSBURG,WV,M,Y
F,ARISPE,IA,M,N
F,DELOIT,IA,S,N
F,ISONVILLE,KY,S,N
M,WORTHINGTON,IN,S,N
M,POWELL,WY,M,Y
F,LAS VEGAS,NV,M,N
M,WILMINGTON,DE,M,Y
F,MAUGANSVILLE,MD,S,N
M,DENVER,CO,M,Y
F,LINCOLN PARK,MI,S,N
M,CEDAR BLUFFS,NE,M,N
F,KAPAA,HI,M,Y
M,DENVILLE,NJ,M,Y
M,SHARPSBURG,MD,S,Y
F,WINSTON,GA,M,Y
F,NEW ORLEANS,LA,S,N
F,WHALEYVILLE,MD,M,N
F,BOULDER,CO,S,Y
F,WILMINGTON,DE,S,N
F,HOCKLEY,TX,M,Y
F,VAUGHN,NM,M,Y
F,GLENNALLEN,AK,S,N
M,BUTTE,MT,S,Y
F,SINCLAIR,WY,M,N
F,LIBERTY CENTER,IN,S,N
F,CHARLESTON,WV,S,Y
F,WEST WARDSBORO,VT,M,N
M,WILMINGTON,DE,S,N
F,KINGSTON,WA,S,N
M,JACKSON,WY,M,N
F,TYLERSVILLE,PA,S,Y
M,MANILLA,IA,M,N
F,SLATER,IA,S,Y
F,SPENCERVILLE,OH,S,N
M,WASHINGTON,DC,M,Y
M,MANVILLE,RI,M,Y
F,LAHAINA,HI,S,Y
M,SOUTH HAVEN,MN,M,Y
F,SUN VALLEY,NV,M,N
M,HOLDEN,UT,M,Y
F,LITTLETON,CO,S,N
F,TUNKHANNOCK,PA,M,N
M,ANTHONY,NM,S,Y
F,PATTEN,ME,M,Y
M,MILLS,WY,M,N
F,HENDERSON,NV,S,Y
M,STRYKER,MT,M,Y
F,SHELBURNE FALLS,MA,S,Y
F,HOUSATONIC,MA,M,Y
F,CLEVELAND,OH,S,N
M,ALPENA,MI,S,Y
F,BRADNER,OH,M,N
M,KENYON,RI,S,N
F,FAIRMOUNT,ND,S,Y
M,SAINT ALBANS,ME,S,Y
F,LOVEJOY,IL,S,Y
F,NORTH POWNAL,VT,M,N
F,GREENSBORO,NC,M,Y
F,NEW ORLEANS,LA,M,N
F,TROY,ME,M,Y
M,DENVER,CO,S,N
F,MONTREAL,WI,M,N
M,DEWEY,AZ,M,N
M,GREENVILLE,SC,S,N
M,WIOTA,IA,S,N
F,CUSTER CITY,PA,M,N
M,SOUTH BEND,IN,S,N
M,EXETER,RI,S,Y
F,MAYSVILLE,GA,M,Y
M,ONLEY,VA,M,Y
F,HOLY CROSS,IA,M,Y
M,WILLARD,UT,S,Y
F,MAYWOOD,NE,S,Y
M,LINCOLN,NE,M,Y
F,PLYMOUTH,CA,S,N
M,VILLALBA,PR,M,Y
F,MEMPHIS,TN,S,N
F,MILO,MO,M,Y
M,ATLANTA,GA,S,N
F,MONTMORENCI,SC,S,N
M,SOUTH SHORE,KY,M,Y
M,JACKSON,WY,S,N
F,FAYETTEVILLE,AR,S,N
F,NEW ORLEANS,LA,S,N
M,WEST GRANBY,CT,S,Y
M,HUBBARD LAKE,MI,S,Y
F,LITTLE COMPTON,RI,M,N
F,GLEN OAKS,NY,M,Y
F,GRAND TOWER,IL,M,Y
M,GRANITEVILLE,VT,M,N
M,KANSAS CITY,MO,M,Y
F,MILILANI,HI,M,N
F,INDIANAPOLIS,IN,M,Y
F,LONGMIRE,WA,M,Y
F,WEST HARTFORD,CT,M,N
M,CORNERSVILLE,TN,S,N
M,WHITEWOOD,VA,S,N
M,BRUNER,MO,M,Y
F,GREENSBORO,NC,S,N
M,VERSAILLES,CT,M,Y
M,PEMBERTON,OH,S,N
F,DE BORGIA,MT,M,N
M,WASHINGTON,DC,M,Y
M,PALISADE,NE,S,Y
M,HAMILTON,IL,M,Y
M,OROVILLE,WA,S,N
F,AGRA,OK,M,N
F,LINCOLN,MT,M,Y
F,EAST HADDAM,CT,S,Y
M,COALMONT,CO,M,Y
M,ENFIELD,CT,S,Y
M,DEANSBORO,NY,S,N
F,AURORA,CO,S,N
F,GERMANTOWN,TN,M,N
F,SHELBY,OH,M,N
F,WASHINGTON,DC,M,Y
F,WATERBURY,CT,S,N
M,VESTABURG,MI,S,Y
F,ROWESVILLE,SC,M,N
F,SACO,MT,S,N
F,EVERGREEN,NC,S,N
F,ELSBERRY,MO,M,N
M,RUTHVEN,IA,M,Y
F,WASHINGTON,DC,M,N
F,PERRY,AR,M,Y
M,PORT CHARLOTTE,FL,M,N
M,CRESTON,NE,S,Y
M,WINDSOR HEIGHTS,WV,M,N
M,SAINT PETERSBURG,FL,S,N
F,GRAND RIVER,IA,M,N
M,CRANSTON,RI,M,N
F,MONO HOT SPRINGS,CA,S,Y
M,SAINT PETERSBURG,FL,S,Y
M,POLLOCK,ID,M,Y
M,NEW HUDSON,MI,S,Y
F,GUNPOWDER,MD,M,N
F,DUPREE,SD,S,N
M,DAVID CITY,NE,S,Y
F,BALTIMORE,MD,S,Y
F,AGUADILLA,PR,M,Y
F,PICACHO,NM,S,N
M,FAIRLAND,IN,S,Y
F,WHITMAN,WV,M,N
M,UNIONTOWN,AR,S,N
M,NEWARK,NJ,M,N
F,GOLDENS BRIDGE,NY,S,Y
M,EVANSVILLE,MN,M,N
F,PERRYSBURG,OH,S,Y
M,WATERLOO,SC,S,Y
M,ALEXIS,IL,M,Y
M,ROPER,NC,S,Y
M,DYER,NV,S,Y
F,ROCKMART,GA,S,N
F,ALMOND,WI,S,Y
F,DIXMONT,ME,M,Y
F,KINSEY,MT,S,N
F,KUNIA,HI,M,N
M,JETMORE,KS,M,Y
M,ALPINE,UT,M,N
F,FOLKSTON,GA,M,N
F,KAAAWA,HI,S,N
M,SAN LORENZO,CA,S,N
M,OGDEN,IA,M,N
M,RUDYARD,MT,S,N
F,GERVAIS,OR,S,N
F,MCGREGOR,MN,M,N
M,ANNANDALE,VA,S,N
F,PASCAGOULA,MS,S,Y
F,GREEN BAY,WI,S,N
M,CRAFTSBURY,VT,S,Y
F,BEAUFORT,SC,M,N
F,SHERMAN,ME,S,Y
M,RAPID CITY,SD,S,N
M,ALBERTVILLE,AL,S,Y
M,LINN,KS,M,Y
F,COEUR D ALENE,ID,S,Y
F,HARRAH,OK,S,Y
M,WEST FARGO,ND,M,N
F,LAFAYETTE,CO,S,N
M,FROMBERG,MT,M,N
M,BRIGHTON,CO,M,Y
F,ROCHELLE,VA,M,N
M,NORCROSS,GA,M,N
F,LITTLE FERRY,NJ,S,Y
M,BAPTISTOWN,NJ,M,N
M,MOUNT VICTORIA,MD,M,N
M,MANCHESTER,NH,S,N
F,GREENWICH,CT,M,N
M,LA GRANGE,KY,M,N
F,OILTON,OK,S,Y
M,AVERY,ID,S,Y
F,BETHEL,AK,M,Y
M,REDDING,CA,M,Y
F,MILTON,IN,S,Y
M,PORTLAND,ME,M,Y
F,VAIL,CO,M,Y
M,LEADVILLE,CO,M,Y
M,MC LEOD,MT,M,Y
M,CONASAUGA,TN,M,N
F,MERIDIAN,ID,M,Y
M,BOWIE,MD,S,N
M,LUPTON CITY,TN,S,Y
M,HUNTINGTON,IN,S,N
M,WINTERSET,IA,M,N
F,RILEY,OR,M,Y
M,PALESTINE,TX,S,Y
M,STUART,NE,S,N
M,HARPSWELL,ME,M,N
M,EHRHARDT,SC,M,N
F,LANCASTER,MA,M,N
F,GREENBRIER,AR,M,Y
M,DURHAM,NC,M,N
M,JOSEPHINE,TX,M,N
F,HURRICANE,UT,M,N
F,SAINT FRANCISVILLE,LA,M,Y
M,CERRO GORDO,IL,S,N
M,HANA,HI,M,N
M,NEWAYGO,MI,M,Y
M,STAMFORD,CT,M,Y
F,GRESHAM,OR,M,N
F,CHARLESTON,SC,S,Y
M,WESTBROOK,CT,M,Y
M,CUBA,NM,M,N
F,BRADFORD,NH,M,Y
F,MERRIMACK,NH,S,N
M,LOCKBOURNE,OH,S,Y
M,WEISER,ID,S,N
M,HILLSDALE,WY,M,N
M,OGDEN,UT,S,N
M,NORTH READING,MA,S,Y
F,CRESCENT CITY,FL,S,N
F,EASLEY,SC,M,Y
F,BEULAH,MS,M,Y
F,BALTIMORE,MD,S,N
F,DUCK HILL,MS,S,N
F,DALLAS,TX,S,Y
F,ELMHURST,NY,S,N
F,MESCALERO,NM,M,N
F,NYACK,NY,M,Y
M,WATERBURY,CT,M,N
F,SAINT PAUL,MN,M,N
M,KNOXVILLE,TN,M,Y
F,RANGER,WV,M,N
M,MINTER,AL,M,Y
F,INVERNESS,MS,M,N
F,WAKE ISLAND,HI,M,N
F,HACKLEBURG,AL,S,Y
M,WINFIELD,IA,M,N
M,BRIMHALL,NM,S,Y
M,PLAYAS,NM,M,Y
F,MARION,SD,S,Y
M,SOUTH BEND,IN,S,Y
M,LATHROP,CA,M,N
F,EXETER,RI,S,Y
M,MITCHELL,NE,M,Y
M,WENDELL,ID,M,N
M,CONCORD,NC,S,N
F,EDDINGTON,ME,M,N
F,NORRIS,IL,M,N
F,REAGAN,TX,S,N
F,FELTON,GA,S,Y
F,SHELL,WY,M,Y
F,ALBUQUERQUE,NM,M,N
M,BOSSIER CITY,LA,M,N
M,LOUISVILLE,KY,S,Y
M,NASHUA,NH,M,Y
F,MILFORD,MI,S,N
F,BULLHEAD CITY,AZ,M,N
M,REXFORD,MT,S,Y
M,NORTH LAS VEGAS,NV,S,Y
M,WASHINGTON,DC,M,N
M,PATTERSON,LA,M,N
M,JEDDO,MI,M,N
F,EVANSVILLE,IN,S,N
F,NEKOMA,KS,M,Y
M,UNIVERSITY,MS,S,Y
F,CIDRA,PR,M,N
F,TRENTON,ND,M,Y
F,AMANDA,OH,S,Y
M,EMERSON,NJ,S,Y
M,CARAWAY,AR,S,Y
M,FORT PIERRE,SD,S,N
F,HAKALAU,HI,M,Y
M,WAPITI,WY,S,N
M,SAILOR SPRINGS,IL,S,N
F,GARYVILLE,LA,S,N
F,YALE,IA,S,Y
F,FELTON,PA,M,Y
M,CEDAR RAPIDS,IA,M,Y
M,OAKLAND,RI,M,Y
F,WEST MILLBURY,MA,M,N
M,TUPMAN,CA,M,N
M,KIRKWOOD,DE,S,N
M,HOPE,MI,S,N
M,WASHINGTON,DC,S,N
M,MONUMENT,NM,M,N
F,POCATELLO,ID,S,N
F,ADAMSVILLE,RI,M,Y
M,FLOWER MOUND,TX,S,Y
M,HONAUNAU,HI,M,Y
F,DONGOLA,IL,S,Y
F,YORKVILLE,OH,M,N
M,WASHINGTON,DC,S,Y
M,BYRAM,MS,M,Y
F,ANNANDALE,VA,M,N
F,MOUNT CALVARY,WI,M,Y
M,HYDE PARK,VT,S,N
M,STRONG,ME,S,Y
F,CHILOQUIN,OR,M,N
F,PETTIBONE,ND,S,Y
M,LANGDON,ND,M,Y
M,RIDGEWAY,WI,S,N
F,RAGLAND,WV,M,Y
F,HOPKINTON,RI,M,N
M,CENTRAL CITY,CO,M,N
F,APACHE JUNCTION,AZ,S,Y
M,LIMESTONE,PA,M,Y
M,STAUNTON,IL,S,Y
M,WILSEY,KS,S,N
F,VAN WYCK,SC,M,N
M,WALES,ND,M,Y
M,BOYES,MT,S,N
M,BENTON HARBOR,MI,S,Y
M,MINNEAPOLIS,MN,M,N
M,MAPLEVILLE,RI,S,Y
F,EFFIE,LA,M,Y
F,NASHVILLE,NC,S,N
M,DEVILS LAKE,ND,M,N
M,PINELAND,TX,M,N
F,KENNEBUNK,ME,M,N
M,TOLOVANA PARK,OR,M,Y
M,CEDAR GLEN,CA,M,Y
F,MILLERVILLE,AL,S,Y
M,GLADE HILL,VA,M,Y
F,GREENWOOD,DE,S,Y
F,CHARLOTTE,NC,M,Y
M,SOUTH THOMASTON,ME,S,Y
M,HOLDERNESS,NH,M,Y
M,NORTH LAS VEGAS,NV,S,Y
M,POLKTON,NC,M,N
F,NEWARK,DE,M,N
F,QUINTON,AL,S,N
F,CAIRO,IL,S,Y
M,LINCOLNWOOD,IL,S,N
F,LANDING,NJ,M,N
M,PAULINA,OR,S,N
F,FAIRFIELD,ME,S,Y
F,SAN BERNARDINO,CA,M,Y
F,LINCOLN,NE,M,N
F,BRISTOL,VT,M,Y
M,SHIRLEY MILLS,ME,M,N
M,SPOKANE,WA,M,Y
M,BILLINGS,MT,M,N
F,SWIFTON,AR,S,N
M,LAS VEGAS,NV,M,Y
F,PARAGON,IN,M,N
M,ISLE AU HAUT,ME,M,Y
F,FORT LARAMIE,WY,S,N
M,GOTHENBURG,NE,S,N
F,ANTHONY,NM,M,N
F,MEDORA,IL,M,Y
M,KANSAS CITY,MO,S,Y
F,LITCHVILLE,ND,M,Y
M,HATTIESBURG,MS,M,Y
M,MORRO BAY,CA,S,Y
M,MOUNTAINSIDE,NJ,M,Y
M,SULPHUR,LA,M,N
M,ELLAVILLE,GA,M,N
M,AKIAK,AK,S,Y
F,SHELDON,IL,S,Y
M,KILGORE,NE,M,Y
F,MACHIPONGO,VA,M,N
M,BLOCK ISLAND,RI,S,Y
M,JERSEY CITY,NJ,M,Y
F,DES MOINES,IA,M,N
F,CENTRAL LAKE,MI,S,N
F,ELBA,AL,M,N
F,MINNEAPOLIS,MN,S,N
F,WATFORD CITY,ND,S,Y
F,CORVALLIS,OR,S,N
M,PLEASANT GROVE,UT,S,Y
F,MORO,OR,S,Y
M,BEAVERTON,OR,M,N
M,CARPENTER,SD,S,Y
M,WINSTON SALEM,NC,S,Y
M,WINSTED,CT,M,N
F,LANGSTON,AL,M,Y
M,HAMILTON,IN,S,N
M,OLD FORT,TN,M,N
M,CLAWSON,UT,M,Y
M,CHERAW,CO,M,Y
M,AGUADILLA,PR,M,N
M,SPRINGVILLE,UT,S,N
F,WEST TOWNSHEND,VT,S,Y
F,COFFEEVILLE,MS,S,Y
F,GARDEN CITY,MO,S,Y
F,SEATTLE,WA,M,N
M,EDISON,NJ,S,N
F,AINSWORTH,IA,S,Y
M,SALIDA,CO,M,Y
M,JACKSON,WY,M,Y
F,SAINT PAUL ISLAND,AK,S,N
F,MONTICELLO,AR,M,N
M,GATES,NC,M,Y
F,RINGGOLD,LA,M,Y
F,OGDEN,AR,S,N
F,BIGHORN,MT,M,N
F,MORROW,AR,M,N
M,HOWE,ID,S,N
M,JAMESTOWN,KS,M,Y
F,GARDEN CITY,MN,M,N
F,BETHLEHEM,PA,M,Y
M,NORTH LAS VEGAS,NV,S,N
F,SALT LAKE CITY,UT,S,Y
F,ALAMO,GA,S,Y
F,BLACK DIAMOND,WA,S,N
M,WASHINGTON,DC,M,Y
F,ALLEN,NE,M,N
F,FAIRFIELD,ID,M,Y
F,LAS VEGAS,NV,S,Y
M,BORING,OR,M,N
M,RIVERDALE,NE,S,N
M,GARFIELD,NM,M,Y
M,FITZGERALD,GA,M,N
M,VINALHAVEN,ME,S,Y
M,MONMOUTH BEACH,NJ,S,N
M,PINE GROVE,WV,S,N
F,PETALUMA,CA,M,Y
F,CHARLOTTESVILLE,VA,M,N
M,NORTH LAWRENCE,OH,M,N
M,ROCKFORD,MN,S,N
F,HOPKINTON,RI,S,Y
M,CATHARINE,KS,M,N
M,DICKINSON CENTER,NY,S,Y
F,SAINT LOUIS,MO,S,Y
F,SABILLASVILLE,MD,S,N
M,STANLEY,ID,M,Y
F,DAWSON,TX,M,N
M,STRAUGHN,IN,M,Y
M,WICHITA,KS,S,Y
M,MIAMI,FL,S,N
F,SEATTLE,WA,M,N
M,GARDEN GROVE,CA,M,Y
F,RICHARDSON,TX,M,Y
F,HARVEYVILLE,KS,S,Y
M,CAMBRIDGE,VT,M,N
F,LACLEDE,ID,S,Y
F,PUEBLO,CO,M,Y
M,ELIZABETH,PA,S,Y
M,RUBY,AK,M,Y
F,KENEFIC,OK,M,N
M,LIBERTY,NC,S,N
M,BAKERTON,WV,M,Y
M,LITTLETON,MA,M,Y
F,NENANA,AK,M,Y
M,STERLING,CO,M,Y
M,OAKLAND,CA,S,N
F,PAPAIKOU,HI,S,N
M,WELLINGTON,UT,S,Y
F,HERTFORD,NC,M,N
F,LUMBERTON,NJ,S,Y
F,POPLAR GROVE,AR,M,Y
M,FORT LAUDERDALE,FL,M,N
M,LUND,NV,S,N
M,OAKLAND,MS,M,Y
M,WEST HARTFORD,VT,S,Y
M,MADISON HEIGHTS,MI,S,N
F,HARKER HEIGHTS,TX,M,Y
M,MIAMI,FL,M,Y
M,GARRETT PARK,MD,M,Y
F,CHANDLER HEIGHTS,AZ,S,Y
M,HAZLEHURST,MS,S,N
F,KAPOLEI,HI,S,N
F,CRAFTSBURY COMMON,VT,M,N
M,WILLIAMS,SC,M,Y
M,PHILADELPHIA,PA,M,Y
M,PORTLAND,ME,M,N
F,KENSINGTON,MD,M,N
M,PHOENIX,AZ,S,Y
M,WASHINGTON,DC,S,Y
M,TYASKIN,MD,S,Y
F,PETERSBURG,TN,M,Y
M,EAST OLYMPIA,WA,M,N
F,POWHATAN,AR,S,Y
F,VALLEY GROVE,WV,S,N
M,SAINT JAMES,LA,M,Y
F,JUNCOS,PR,M,Y
F,SAINT PETERSBURG,FL,S,Y
F,ADJUNTAS,PR,M,Y
M,TOPAWA,AZ,S,Y
M,FAIRTON,NJ,S,Y
F,JAFFREY,NH,M,N
F,NEWFANE,VT,S,Y
M,CORINNA,ME,S,Y
F,TULSA,OK,S,N
F,TEWKSBURY,MA,S,Y
F,HERNSHAW,WV,S,Y
M,CROOKED CREEK,AK,S,N
F,AURELIA,IA,M,N
M,PONTIAC,MI,M,Y
F,PEDRICKTOWN,NJ,M,Y
M,CAYEY,PR,M,N
F,DENMARK,TN,S,Y
F,CHARLESTON,SC,M,N
M,BOYES HOT SPRINGS,CA,S,Y
M,ALBION,IN,M,N
F,NAGS HEAD,NC,S,N
F,PUXICO,MO,S,Y
F,GERMANTON,NC,M,Y
M,SELMAN CITY,TX,S,Y
M,KOYUK,AK,M,Y
F,CAMP,AR,M,N
F,DENVER,CO,S,Y
F,GATEWAY,CO,S,N
F,MERLIN,OR,M,N
F,STRAUGHN,IN,M,Y
M,SAN JUAN,PR,S,N
F,CRAGFORD,AL,M,Y
F,FAIRBANKS,AK,M,N
F,MORTON GROVE,IL,M,Y
M,MANHATTAN,KS,S,N
F,TENANTS HARBOR,ME,S,N
F,SAN JUAN,PR,S,Y
M,FORT KNOX,KY,M,Y
F,SNOWVILLE,UT,S,N
M,LOUISVILLE,KY,S,Y
F,GRACEVILLE,FL,M,N
M,OKLAHOMA CITY,OK,M,Y
M,CHINOOK,MT,M,Y
M,GLEN BURNIE,MD,M,N
M,NICHOLS,FL,M,N
M,JEFFERSONVILLE,IN,M,N
F,MASON CITY,NE,S,Y
F,MINNEAPOLIS,MN,S,N
F,BABBITT,MN,M,Y
F,MCLEAN,NE,M,Y
M,SULLIVAN,NH,M,Y
M,TALLAHASSEE,FL,M,Y
M,ARGYLE,FL,M,N
M,CHAUMONT,NY,S,Y
M,WINTHROP,IA,S,Y
F,HARRISVILLE,RI,M,Y
M,GRAVES MILL,VA,M,N
F,TUCSON,AZ,S,Y
F,HOLYOKE,CO,S,N
M,MC CARLEY,MS,S,Y
M,SEDALIA,MO,S,Y
M,MAYAGUEZ,PR,S,Y
F,WAKEFIELD,NE,M,N
M,BINGHAM,ME,M,Y
M,LAMBSBURG,VA,S,N
M,GRAVETTE,AR,M,Y
M,BRIDGEPORT,CT,M,N
M,BUCKS,AL,M,N
M,SWITZ CITY,IN,M,Y
F,VERADALE,WA,S,Y
M,NEWARK,NJ,S,N
M,LITCHFIELD,NH,S,Y
M,BEAVERTON,OR,M,N
F,PONTIAC,MI,S,N
M,NORTH CHARLESTON,SC,M,N
F,BOSTON,MA,S,Y
F,EL PASO,TX,S,Y
F,HOMOSASSA SPRINGS,FL,S,Y
F,CATAWBA,SC,S,N
M,JACKSONVILLE,OR,S,Y
M,SIDNEY,IA,M,Y
F,LAS VEGAS,NV,S,Y
M,IUKA,KS,M,Y
F,HONOLULU,HI,S,Y
M,WELLINGTON,MO,M,Y
M,WHITNEY,NE,M,Y
M,NOONAN,ND,M,N
M,FRANKLIN,MO,S,N
F,WASHINGTON,DC,S,N
F,SYRACUSE,KS,S,Y
F,MOORHEAD,MN,M,N
F,SPOKANE,WA,M,N
F,AKIAK,AK,S,Y
M,SANDY,UT,M,N
M,INDIAN SPRINGS,NV,M,N
M,REDWOOD ESTATES,CA,S,N
M,PITTSBURGH,PA,S,Y
F,OLD ORCHARD BEACH,ME,S,Y
M,WASHINGTON,DC,S,N
F,MONTVERDE,FL,M,Y
F,BATON ROUGE,LA,S,N
F,GIRARDVILLE,PA,M,N
F,ARKANSAW,WI,S,Y
F,NACHES,WA,S,Y
M,CHANDLER,AZ,M,Y
F,GAYLORD,KS,S,N
F,BRADENTON,FL,S,N
F,FORT SMITH,AR,M,N
F,SALT LAKE CITY,UT,M,N
M,HUNGRY HORSE,MT,S,N
M,EVANSTON,IL,M,N
F,HARTINGTON,NE,S,Y
M,KINGSTREE,SC,M,N
M,FORT BENNING,GA,M,Y
M,LOS ANGELES,CA,S,Y
M,JOSEPHINE,WV,S,N
F,PURDUM,NE,M,Y
F,MESA,CO,M,N
M,TYRONZA,AR,M,N
M,TAHLEQUAH,OK,M,N
M,SHELBYVILLE,IN,M,N
M,COGGON,IA,S,N
F,HELENA,AL,M,N
F,MEAD,OK,M,N
M,CLEVELAND,OK,M,Y
F,WARNER ROBINS,GA,S,Y
F,SOUTH CHINA,ME,M,Y
F,WILMINGTON,DE,M,Y
F,WYNNE,AR,S,N
F,BIENVILLE,LA,M,Y
F,MOUNTAIN VIEW,WY,M,N
F,DORSET,VT,S,N
F,CRALEY,PA,M,Y
F,LAIE,HI,M,N
M,PHOENIX,AZ,M,N
M,MELROSE PARK,IL,M,Y
F,MC AFEE,NJ,S,N
F,CORDOVA,AK,S,N
M,BELCAMP,MD,S,Y
M,MITCHELL,OR,M,Y
F,WYOMING,RI,M,N
F,AURORA,CO,M,Y
M,TULSA,OK,M,N
F,WASHINGTON,DC,S,Y
F,PINSONFORK,KY,S,N
F,WHITEROCKS,UT,M,Y
M,NAPERVILLE,IL,S,Y
F,OAKLAND,CA,M,Y
M,TIMBERON,NM,M,Y
M,MORGANTOWN,WV,M,Y
F,TUCSON,AZ,S,N
F,FAIRBANKS,AK,S,N
M,AUSTELL,GA,S,N
M,THORPE,WV,S,Y
M,MOUNT HERMON,KY,S,N
F,RISINGSUN,OH,S,Y
M,MONROE,VA,M,N
F,JOHNSON CITY,TN,S,Y
F,ROCHDALE,MA,M,Y
M,MONTICELLO,KY,S,N
F,DANBY,VT,M,N
F,NORTH CONWAY,NH,S,N
M,MAPLEVILLE,RI,M,Y
M,WORCESTER,MA,S,Y
F,HENEFER,UT,M,Y
M,CEDAR KNOLLS,NJ,S,N
F,CANTON,OH,M,N
F,BUSTINS ISLAND,ME,S,Y
M,WATERLOO,IA,S,Y
F,AURORA,CO,M,N
F,SAUCIER,MS,M,Y
M,SPARTA,GA,S,Y
M,ANADARKO,OK,S,N
M,COLLINSVILLE,MS,S,Y
M,WASHINGTON,DC,M,Y
F,JACKS CREEK,TN,M,N
F,EWAN,NJ,S,N
M,SPOTSWOOD,NJ,S,N
F,ISLIP,NY,M,Y
M,HOOPER,WA,S,N
F,WALSENBURG,CO,S,Y
F,BENWOOD,WV,S,N
M,POCOMOKE CITY,MD,M,Y
F,RUSSELLVILLE,AR,M,N
F,ROME,IA,S,N
F,KINGMAN,ME,S,Y
F,LINCOLN,RI,M,N
M,FORT TOTTEN,ND,M,Y
M,MOUNT AIRY,MD,S,Y
M,CHUGIAK,AK,S,Y
F,FENWICK ISLAND,DE,S,N
M,MOUNT HERMON,KY,S,N
F,STARTUP,WA,M,N
F,CROSBY,ND,M,N
F,SYRACUSE,NY,M,Y
M,SEWANEE,TN,S,Y
M,WOLF POINT,MT,S,Y
F,BACKUS,MN,S,Y
F,WHITMAN,MA,S,Y
F,WASHINGTON,DC,S,N
F,EDEN PRAIRIE,MN,M,N
F,BLACK RIVER,MI,S,N
M,CENTERBROOK,CT,S,Y
M,WHEATLAND,WY,S,N
M,DETROIT,MI,S,N
M,LAS CRUCES,NM,S,Y
F,CLARKS,LA,S,N
F,LITTLE ROCK,AR,M,N
F,ALADDIN,WY,M,N
M,NORTHWOOD,IA,S,N
F,BESSEMER,AL,M,Y
M,ENDEAVOR,PA,M,Y
M,HOWARD CITY,MI,S,N
F,MURDO,SD,M,Y
M,GRESHAM,OR,S,Y
M,HONOLULU,HI,S,Y
F,FINLAND,MN,S,Y
M,RAVENNA,TX,S,N
M,LAS VEGAS,NV,S,Y
F,KENSAL,ND,S,N
F,BLOOMINGDALE,IL,M,Y
M,FINCHVILLE,KY,M,N
F,BRANDY STATION,VA,S,Y
F,BELLEVUE,WA,S,Y
M,BALTIMORE,MD,S,Y
M,HOT SPRINGS NATIONAL PARK,AR,M,N
M,PETERSHAM,MA,S,Y
M,CUMBERLAND,RI,S,N
F,RIVER FOREST,IL,S,N
F,OLD ORCHARD BEACH,ME,M,N
F,NEWELL,PA,M,N
F,CHARLOTTE,NC,S,Y
F,NORTH ANSON,ME,M,Y
F,CLEVELAND,SC,M,Y
M,NORTH SALEM,NH,S,N
M,KENTON,DE,M,N
M,NORTH READING,MA,M,Y
M,NORFORK,AR,M,N
M,CLUTIER,IA,S,Y
F,AVALON,CA,M,Y
F,SAGINAW,MI,S,N
M,FOSTER,RI,S,N
F,MAIDA,ND,M,Y
M,KIPLING,NC,S,Y
F,LIMA,OH,M,N
M,BRANDYWINE,MD,S,N
M,FORTVILLE,IN,M,Y
M,ELBOW LAKE,MN,M,Y
F,CLARKRANGE,TN,S,N
M,WINSTON SALEM,NC,S,N
F,ULMER,SC,S,Y
F,SUSSEX,VA,S,Y
F,SEWARD,AK,S,Y
M,ATLANTA,GA,M,N
F,OLATON,KY,S,Y
F,BROADVIEW HEIGHTS,OH,S,N
F,THOMASVILLE,GA,M,N
M,CORNUCOPIA,WI,M,N
M,SLATERSVILLE,RI,M,N
F,WOODROW,CO,M,N
F,MARION,MS,M,Y
F,IRONSIDES,MD,M,Y
M,WAILUKU,HI,S,Y
F,ROLAND,OK,M,N
F,BLUE HILL,NE,M,N
M,PERRIS,CA,S,N
M,LAKE ODESSA,MI,M,N
M,PROVO,UT,M,N
F,BETHANY,IL,S,N
F,NORTH SPRING,WV,S,N
F,POTTERSVILLE,MO,S,Y
F,PAHRUMP,NV,M,N
M,SADLER,TX,M,Y
F,HARRISON,NJ,M,Y
M,SOUTH FREEPORT,ME,S,N
F,MARBLEMOUNT,WA,M,Y
M,DALTON,NE,M,Y
M,BURFORDVILLE,MO,S,N
F,ATWOOD,IL,M,N
M,LOIZA,PR,M,N
M,HAGERSTOWN,MD,M,Y
M,SAN FRANCISCO,CA,S,Y
M,KENAI,AK,S,N
F,BLANCHARD,ID,S,N
M,PHOENIX,AZ,S,Y
M,DIETRICH,ID,S,N
F,ANNABELLA,UT,S,N
M,LITTLETON,CO,S,N
M,BLUE HILL,ME,M,N
M,ALKOL,WV,S,Y
F,BANKS,ID,M,N
F,STRABANE,PA,M,N
F,SAN FIDEL,NM,S,N
F,HIGBEE,MO,M,N
M,LARIMORE,ND,M,N
M,BARTLESVILLE,OK,M,Y
F,TALKEETNA,AK,S,N
